Month,Crime_Count
2001-01,74995
2001-02,66288
2001-03,53122
2001-04,40166
2001-05,41876
2001-06,41823
2001-07,44801
2001-08,44115
2001-09,41602
2001-10,43131
2001-11,39683
2001-12,36916
2002-01,39547
2002-02,34810
2002-03,39641
2002-04,40764
2002-05,42938
2002-06,42879
2002-07,46060
2002-08,44247
2002-09,42421
2002-10,43183
2002-11,37179
2002-12,37210
2003-01,36950
2003-02,32551
2003-03,38683
2003-04,39812
2003-05,41203
2003-06,40837
2003-07,43413
2003-08,44263
2003-09,41374
2003-10,43211
2003-11,37943
2003-12,35673
2004-01,34497
2004-02,26859
2004-03,8624
2004-04,4247
2004-05,32050
2004-06,41208
2004-07,43309
2004-08,43131
2004-09,41312
2004-10,41607
2004-11,36927
2004-12,34434
2005-01,33983
2005-02,32042
2005-03,36970
2005-04,38963
2005-05,40572
2005-06,40234
2005-07,41976
2005-08,41741
2005-09,39833
2005-10,40204
2005-11,36244
2005-12,33049
2006-01,37605
2006-02,34063
2006-03,43721
2006-04,69128
2006-05,79013
2006-06,77348
2006-07,82750
2006-08,80628
2006-09,75045
2006-10,76870
2006-11,70710
2006-12,67803
2007-01,67123
2007-02,53811
2007-03,71857
2007-04,70389
2007-05,78170
2007-06,55802
2007-07,40990
2007-08,39844
2007-09,38252
2007-10,39586
2007-11,34418
2007-12,31606
2008-01,66483
2008-02,57378
2008-03,67662
2008-04,71002
2008-05,76034
2008-06,75295
2008-07,80885
2008-08,81009
2008-09,74801
2008-10,75687
2008-11,67051
2008-12,58766
2009-01,60333
2009-02,56403
2009-03,67319
2009-04,65058
2009-05,70404
2009-06,68454
2009-07,71252
2009-08,71560
2009-09,67634
2009-10,66467
2009-11,62712
2009-12,56304
2010-01,57819
2010-02,49653
2010-03,64376
2010-04,63048
2010-05,66434
2010-06,64971
2010-07,66477
2010-08,67630
2010-09,63009
2010-10,63628
2010-11,48378
2010-12,25268
2011-01,27213
2011-02,22247
2011-03,28707
2011-04,29113
2011-05,31610
2011-06,32341
2011-07,33274
2011-08,32616
2011-09,29945
2011-10,30305
2011-11,27653
2011-12,27042
2012-01,26194
2012-02,23847
2012-03,28533
2012-04,27164
2012-05,30067
2012-06,31052
2012-07,31945
2012-08,30010
2012-09,27730
2012-10,27938
2012-11,26010
2012-12,25180
2013-01,25357
2013-02,21372
2013-03,24922
2013-04,25492
2013-05,27959
2013-06,27325
2013-07,28593
2013-08,28622
2013-09,26295
2013-10,25429
2013-11,23518
2013-12,21819
2014-01,19870
2014-02,17977
2014-03,22117
2014-04,22836
2014-05,24807
2014-06,25348
2014-07,26477
2014-08,25802
2014-09,23811
2014-10,23911
2014-11,20680
2014-12,20891
2015-01,20656
2015-02,16287
2015-03,21560
2015-04,21610
2015-05,23570
2015-06,23059
2015-07,24101
2015-08,24685
2015-09,22996
2015-10,22979
2015-11,20486
2015-12,21006
2016-01,20375
2016-02,18590
2016-03,21878
2016-04,20962
2016-05,23332
2016-06,23791
2016-07,24646
2016-08,24619
2016-09,23235
2016-10,23314
2016-11,21140
2016-12,19580
2017-01,11357
