类别：所有类别

周,Blockchain: (全球)
2019-02-03,47
2019-02-10,48
2019-02-17,47
2019-02-24,48
2019-03-03,46
2019-03-10,44
2019-03-17,44
2019-03-24,45
2019-03-31,49
2019-04-07,49
2019-04-14,46
2019-04-21,56
2019-04-28,56
2019-05-05,57
2019-05-12,58
2019-05-19,54
2019-05-26,54
2019-06-02,46
2019-06-09,50
2019-06-16,51
2019-06-23,53
2019-06-30,46
2019-07-07,46
2019-07-14,45
2019-07-21,42
2019-07-28,40
2019-08-04,41
2019-08-11,41
2019-08-18,42
2019-08-25,42
2019-09-01,39
2019-09-08,42
2019-09-15,45
2019-09-22,43
2019-09-29,40
2019-10-06,39
2019-10-13,39
2019-10-20,40
2019-10-27,46
2019-11-03,43
2019-11-10,42
2019-11-17,41
2019-11-24,41
2019-12-01,40
2019-12-08,37
2019-12-15,36
2019-12-22,26
2019-12-29,30
2020-01-05,38
2020-01-12,41
2020-01-19,39
2020-01-26,38
2020-02-02,38
2020-02-09,41
2020-02-16,39
2020-02-23,37
2020-03-01,37
2020-03-08,33
2020-03-15,30
2020-03-22,31
2020-03-29,32
2020-04-05,37
2020-04-12,35
2020-04-19,39
2020-04-26,40
2020-05-03,40
2020-05-10,39
2020-05-17,38
2020-05-24,36
2020-05-31,37
2020-06-07,35
2020-06-14,35
2020-06-21,35
2020-06-28,33
2020-07-05,36
2020-07-12,39
2020-07-19,40
2020-07-26,43
2020-08-02,39
2020-08-09,38
2020-08-16,41
2020-08-23,39
2020-08-30,37
2020-09-06,35
2020-09-13,35
2020-09-20,34
2020-09-27,31
2020-10-04,34
2020-10-11,31
2020-10-18,32
2020-10-25,34
2020-11-01,43
2020-11-08,41
2020-11-15,40
2020-11-22,42
2020-11-29,39
2020-12-06,39
2020-12-13,45
2020-12-20,40
2020-12-27,49
2021-01-03,74
2021-01-10,66
2021-01-17,58
2021-01-24,55
2021-01-31,61
2021-02-07,84
2021-02-14,100
2021-02-21,88
2021-02-28,78
2021-03-07,80
2021-03-14,68
2021-03-21,66
2021-03-28,65
2021-04-04,63
2021-04-11,86
2021-04-18,79
2021-04-25,70
2021-05-02,75
2021-05-09,84
2021-05-16,71
2021-05-23,64
2021-05-30,62
2021-06-06,59
2021-06-13,52
2021-06-20,51
2021-06-27,49
2021-07-04,46
2021-07-11,45
2021-07-18,47
2021-07-25,50
2021-08-01,47
2021-08-08,45
2021-08-15,49
2021-08-22,54
2021-08-29,54
2021-09-05,55
2021-09-12,58
2021-09-19,55
2021-09-26,49
2021-10-03,54
2021-10-10,57
2021-10-17,63
2021-10-24,66
2021-10-31,73
2021-11-07,73
2021-11-14,73
2021-11-21,65
2021-11-28,68
2021-12-05,68
2021-12-12,64
2021-12-19,63
2021-12-26,59
2022-01-02,85
2022-01-09,81
2022-01-16,76
2022-01-23,83
2022-01-30,83
2022-02-06,86
2022-02-13,79
2022-02-20,73
2022-02-27,69
2022-03-06,69
2022-03-13,70
2022-03-20,74
2022-03-27,75
2022-04-03,75
2022-04-10,66
2022-04-17,69
2022-04-24,69
2022-05-01,64
2022-05-08,71
2022-05-15,66
2022-05-22,62
2022-05-29,57
2022-06-05,54
2022-06-12,58
2022-06-19,54
2022-06-26,51
2022-07-03,57
2022-07-10,55
2022-07-17,52
2022-07-24,49
2022-07-31,48
2022-08-07,46
2022-08-14,47
2022-08-21,52
2022-08-28,48
2022-09-04,47
2022-09-11,51
2022-09-18,52
2022-09-25,51
2022-10-02,46
2022-10-09,51
2022-10-16,52
2022-10-23,50
2022-10-30,55
2022-11-06,50
2022-11-13,54
2022-11-20,46
2022-11-27,44
2022-12-04,45
2022-12-11,48
2022-12-18,41
2022-12-25,38
2023-01-01,41
2023-01-08,44
2023-01-15,45
2023-01-22,43
2023-01-29,43
2023-02-05,45
2023-02-12,43
2023-02-19,43
2023-02-26,45
2023-03-05,39
2023-03-12,41
2023-03-19,44
2023-03-26,41
2023-04-02,37
2023-04-09,40
2023-04-16,37
2023-04-23,41
2023-04-30,40
2023-05-07,40
2023-05-14,37
2023-05-21,39
2023-05-28,39
2023-06-04,37
2023-06-11,36
2023-06-18,39
2023-06-25,36
2023-07-02,36
2023-07-09,40
2023-07-16,39
2023-07-23,43
2023-07-30,39
2023-08-06,36
2023-08-13,36
2023-08-20,39
2023-08-27,38
2023-09-03,40
2023-09-10,40
2023-09-17,39
2023-09-24,38
2023-10-01,38
2023-10-08,35
2023-10-15,36
2023-10-22,42
2023-10-29,38
2023-11-05,40
2023-11-12,38
2023-11-19,39
2023-11-26,41
2023-12-03,44
2023-12-10,38
2023-12-17,41
2023-12-24,40
2023-12-31,37
2024-01-07,43
2024-01-14,39
2024-01-21,43
2024-01-28,44
