类别：所有类别

月份,Wildlife Trade: (美国)
2004-01,0
2004-02,0
2004-03,47
2004-04,0
2004-05,31
2004-06,0
2004-07,90
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,24
2005-02,0
2005-03,34
2005-04,61
2005-05,36
2005-06,20
2005-07,76
2005-08,30
2005-09,46
2005-10,100
2005-11,0
2005-12,0
2006-01,30
2006-02,47
2006-03,0
2006-04,37
2006-05,48
2006-06,15
2006-07,0
2006-08,12
2006-09,0
2006-10,36
2006-11,27
2006-12,40
2007-01,0
2007-02,0
2007-03,29
2007-04,72
2007-05,19
2007-06,17
2007-07,13
2007-08,17
2007-09,15
2007-10,31
2007-11,39
2007-12,17
2008-01,24
2008-02,23
2008-03,37
2008-04,39
2008-05,20
2008-06,29
2008-07,23
2008-08,14
2008-09,48
2008-10,23
2008-11,19
2008-12,24
2009-01,17
2009-02,23
2009-03,9
2009-04,16
2009-05,7
2009-06,7
2009-07,22
2009-08,6
2009-09,23
2009-10,11
2009-11,19
2009-12,8
2010-01,18
2010-02,18
2010-03,40
2010-04,27
2010-05,19
2010-06,14
2010-07,0
2010-08,0
2010-09,32
2010-10,11
2010-11,24
2010-12,14
2011-01,26
2011-02,16
2011-03,26
2011-04,22
2011-05,17
2011-06,20
2011-07,23
2011-08,11
2011-09,14
2011-10,18
2011-11,20
2011-12,17
2012-01,10
2012-02,15
2012-03,9
2012-04,22
2012-05,15
2012-06,11
2012-07,12
2012-08,10
2012-09,24
2012-10,14
2012-11,14
2012-12,13
2013-01,11
2013-02,17
2013-03,18
2013-04,19
2013-05,13
2013-06,12
2013-07,5
2013-08,12
2013-09,14
2013-10,19
2013-11,25
2013-12,17
2014-01,23
2014-02,24
2014-03,24
2014-04,21
2014-05,31
2014-06,11
2014-07,11
2014-08,9
2014-09,18
2014-10,18
2014-11,15
2014-12,22
2015-01,14
2015-02,18
2015-03,15
2015-04,21
2015-05,25
2015-06,14
2015-07,13
2015-08,9
2015-09,23
2015-10,27
2015-11,18
2015-12,26
2016-01,14
2016-02,17
2016-03,22
2016-04,21
2016-05,17
2016-06,17
2016-07,12
2016-08,12
2016-09,8
2016-10,25
2016-11,33
2016-12,16
2017-01,18
2017-02,28
2017-03,28
2017-04,21
2017-05,17
2017-06,15
2017-07,16
2017-08,7
2017-09,13
2017-10,18
2017-11,22
2017-12,19
2018-01,9
2018-02,19
2018-03,22
2018-04,25
2018-05,26
2018-06,19
2018-07,12
2018-08,16
2018-09,9
2018-10,24
2018-11,21
2018-12,23
2019-01,21
2019-02,29
2019-03,23
2019-04,32
2019-05,22
2019-06,19
2019-07,8
2019-08,10
2019-09,20
2019-10,24
2019-11,19
2019-12,11
2020-01,29
2020-02,39
2020-03,65
2020-04,59
2020-05,30
2020-06,15
2020-07,20
2020-08,6
2020-09,22
2020-10,14
2020-11,19
2020-12,11
2021-01,10
2021-02,18
2021-03,28
2021-04,20
2021-05,15
2021-06,10
2021-07,10
2021-08,11
2021-09,10
2021-10,17
2021-11,18
2021-12,9
2022-01,16
2022-02,23
2022-03,20
2022-04,37
2022-05,33
2022-06,12
2022-07,14
2022-08,8
2022-09,18
2022-10,23
2022-11,25
2022-12,23
2023-01,24
2023-02,24
2023-03,22
2023-04,26
2023-05,32
2023-06,15
2023-07,11
2023-08,16
2023-09,21
2023-10,26
2023-11,30
2023-12,23
2024-01,24
