Month,Percent,Volume
2004-01,0,0
2004-02,0,0
2004-03,47,799
2004-04,0,0
2004-05,31,527
2004-06,0,0
2004-07,90,1530
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,24,408
2005-02,0,0
2005-03,34,578
2005-04,61,1037
2005-05,36,612
2005-06,20,340
2005-07,76,1292
2005-08,30,510
2005-09,46,782
2005-10,100,1700
2005-11,0,0
2005-12,0,0
2006-01,30,510
2006-02,47,799
2006-03,0,0
2006-04,37,629
2006-05,48,816
2006-06,15,255
2006-07,0,0
2006-08,12,204
2006-09,0,0
2006-10,36,612
2006-11,27,459
2006-12,40,680
2007-01,0,0
2007-02,0,0
2007-03,29,493
2007-04,72,1224
2007-05,19,323
2007-06,17,289
2007-07,13,221
2007-08,17,289
2007-09,15,255
2007-10,31,527
2007-11,39,663
2007-12,17,289
2008-01,24,408
2008-02,23,391
2008-03,37,629
2008-04,39,663
2008-05,20,340
2008-06,29,493
2008-07,23,391
2008-08,14,238
2008-09,48,816
2008-10,23,391
2008-11,19,323
2008-12,24,408
2009-01,17,289
2009-02,23,391
2009-03,9,153
2009-04,16,272
2009-05,7,119
2009-06,7,119
2009-07,22,374
2009-08,6,102
2009-09,23,391
2009-10,11,187
2009-11,19,323
2009-12,8,136
2010-01,18,306
2010-02,18,306
2010-03,40,680
2010-04,27,459
2010-05,19,323
2010-06,14,238
2010-07,0,0
2010-08,0,0
2010-09,32,544
2010-10,11,187
2010-11,24,408
2010-12,14,238
2011-01,26,442
2011-02,16,272
2011-03,26,442
2011-04,22,374
2011-05,17,289
2011-06,20,340
2011-07,23,391
2011-08,11,187
2011-09,14,238
2011-10,18,306
2011-11,20,340
2011-12,17,289
2012-01,10,170
2012-02,15,255
2012-03,9,153
2012-04,22,374
2012-05,15,255
2012-06,11,187
2012-07,12,204
2012-08,10,170
2012-09,24,408
2012-10,14,238
2012-11,14,238
2012-12,13,221
2013-01,11,187
2013-02,17,289
2013-03,18,306
2013-04,19,323
2013-05,13,221
2013-06,12,204
2013-07,5,85
2013-08,12,204
2013-09,14,238
2013-10,19,323
2013-11,25,425
2013-12,17,289
2014-01,23,391
2014-02,24,408
2014-03,24,408
2014-04,21,357
2014-05,31,527
2014-06,11,187
2014-07,11,187
2014-08,9,153
2014-09,18,306
2014-10,18,306
2014-11,15,255
2014-12,22,374
2015-01,14,238
2015-02,18,306
2015-03,15,255
2015-04,21,357
2015-05,25,425
2015-06,14,238
2015-07,13,221
2015-08,9,153
2015-09,23,391
2015-10,27,459
2015-11,18,306
2015-12,26,442
2016-01,14,238
2016-02,17,289
2016-03,22,374
2016-04,21,357
2016-05,17,289
2016-06,17,289
2016-07,12,204
2016-08,12,204
2016-09,8,136
2016-10,25,425
2016-11,33,561
2016-12,16,272
2017-01,18,306
2017-02,28,476
2017-03,28,476
2017-04,21,357
2017-05,17,289
2017-06,15,255
2017-07,16,272
2017-08,7,119
2017-09,13,221
2017-10,18,306
2017-11,22,374
2017-12,19,323
2018-01,9,153
2018-02,19,323
2018-03,22,374
2018-04,25,425
2018-05,26,442
2018-06,19,323
2018-07,12,204
2018-08,16,272
2018-09,9,153
2018-10,24,408
2018-11,21,357
2018-12,23,391
2019-01,21,357
2019-02,29,493
2019-03,23,391
2019-04,32,544
2019-05,22,374
2019-06,19,323
2019-07,8,136
2019-08,10,170
2019-09,20,340
2019-10,24,408
2019-11,19,323
2019-12,11,187
2020-01,29,493
2020-02,39,663
2020-03,65,1105
2020-04,59,1003
2020-05,30,510
2020-06,15,255
2020-07,20,340
2020-08,6,102
2020-09,22,374
2020-10,14,238
2020-11,19,323
2020-12,11,187
2021-01,10,170
2021-02,18,306
2021-03,28,476
2021-04,20,340
2021-05,15,255
2021-06,10,170
2021-07,10,170
2021-08,11,187
2021-09,10,170
2021-10,17,289
2021-11,18,306
2021-12,9,153
2022-01,16,272
2022-02,23,391
2022-03,20,340
2022-04,37,629
2022-05,33,561
2022-06,12,204
2022-07,14,238
2022-08,8,136
2022-09,18,306
2022-10,23,391
2022-11,25,425
2022-12,23,391
2023-01,24,408
2023-02,24,408
2023-03,22,374
2023-04,26,442
2023-05,32,544
2023-06,15,255
2023-07,11,187
2023-08,16,272
2023-09,21,357
2023-10,26,442
2023-11,30,510
2023-12,23,391
2024-01,24,408
