Year,GDP
1990,10098808000000
1991,10087875000000
1992,10443214000000
1993,10730589000000
1994,11162902000000
1995,11462538000000
1996,11894970000000
1997,12423960000000
1998,12980727000000
1999,13603087000000
2000,14157707000000
2001,14292820000000
2002,14535218000000
2003,14941653000000
2004,15517288000000
2005,16057789000000
2006,16504647000000
2007,16836474000000
2008,16857046000000
2009,16418782000000
2010,16863543000000
2011,17124910000000
2012,17515476000000
2013,17838090000000
2014,18246185000000
2015,18739995000000
2016,19052480000000
2017,19479620000000
2018,20053370000000
2019,20513483000000
2020,19945709000000
2021,21131579000000
